City,State,Abbr,Summer Temp,Winter Temp
Aberdeen,South Dakota,SD,68.1,10.1
Abilene,Texas,TX,86.6,45.3
Akron,Ohio,OH,72.8,26.9
Alamosa,Colorado,CO,64.2,8.9
Albany,New York,NY,71.7,23.4
Albuquerque,New Mexico,NM,79.6,36
Alexander,Arkansas,AR,,
Alexandria,Virginia,VA,,
Allenton,Wisconsin,WI,,
Allentown,Pennsylvania,PA,75,30.4
Amarillo,Texas,TX,81.8,39.7
Anchorage,Alaska,AK,62.7,20.4
Antioch,Tennesse,TN,,
Arleta,California,CA,,
Asheville,North Carolina,NC,74,39.1
Astoria,Oregon,OR,63.4,45.3
Atlanta,Georgia,GA,82.5,45.9
Atlantic City,New Jersey,NJ,76.2,33
Atwater Village,California,CA,,
Augusta,Georgia,GA,82.6,49.1
Austin,Texas,TX,89.9,51.6
Baltimore,Maryland,MD,77.9,33.5
Bangor,Maine,ME,67.3,18.7
Barrow,Alaska,AK,42.7,-8.6
Baton Rouge,Louisiana,LA,84.3,51.3
Bayside,Wisconsin,WI,,
Bayside,New York,NY,,
Beaver Dam,,WI,,
Beckley,West Virginia,WV,70.8,31
Belgium,,WI,,
Bellerose,,NY,,
Beloit,,WI,,
Bensonhurst,,NY,,
Benton,,AR,,
Bethany,,OK,,
Bethel,Alaska,AK,56.5,14
Beverly Hills,,CA,,
Billings,Montana,MT,72.7,29
Binghamton,New York,NY,66.8,20.5
Birmingham,Alabama,AL,82.1,45.1
Bismarck,North Dakota,ND,67.5,13.1
Blue Diamond,,NV,,
Blue Hill,Massachusetts,MA,71.4,27.4
Boise,Idaho,ID,76.9,35.4
Boise,,ID,,
Bonita,,CA,,
Boston,Massachusetts,MA,73.7,30.8
Boston,,MA,,
Brentwood,,CA,,
Brentwood,,TN,,
Briarwood,,NY,,
Bridgeport,Connecticut,CT,74.4,31.3
Bristol,,WI,,
Bronx,,NY,,
Brookfield,,WI,,
Brookline,,MA,,
Brooklyn,,NY,,
Brown Deer,,WI,,
Brownsville,Texas,TX,89.3,62.8
Brownsville,,WI,,
Bryant,,AR,,
Buffalo,New York,NY,70.3,23.1
Burlington,Vermont,VT,70.2,17.5
Bushwick,,NY,,
Calabasas,,CA,,
Cambridge,,MA,,
Campbellsport,,WI,,
Canarsie,,NY,,
Canoga Park,,CA,,
Cape Hatteras,North Carolina,NC,81.3,47.7
Captain Cook,Hawaii,HI,-99,67.3
Caribou,Maine,ME,65.1,10.7
Carson City,Nevada,NV,77.7,39.3
Cascade,,WI,,
Casper,Wyoming,WY,69.7,26.9
Cedar City,Utah,UT,73.9,28.9
Cedar Grove,,WI,,
Cedarburg,,WI,,
Charleston,South Carolina,SC,81.9,50.9
Charleston,West Virginia,WV,75.6,35.2
Charlotte,North Carolina,NC,79.4,43.9
Chatsworth,,CA,,
Chattanooga,Tennessee,TN,81.4,42.7
Cheyenne,Wyoming,WY,70.5,31
Chicago,Illinois,IL,72.9,21.1
Choctaw,,OK,,
Chula Vista,,CA,,
Cincinnati,Ohio,OH,75.7,30.5
City Heights,,CA,,
City Terrace,,CA,,
Cleveland, Ohio,OH,73,28
Clinton,,WI,,
Colgate,,WI,,
College Point,,NY,,
Colorado Springs, Colorado,CO,73.1,33.1
Columbia, Missouri,MO,76.5,30.4
Columbia, South Carolina,SC,83,48.1
Columbus, Georgia,GA,83.7,49.7
Columbus, Ohio,OH,74.5,29.5
Columbus,,WI,,
Concord, New Hampshire,NH,68.4,21.8
Cornwall,,NY,,
Corona,,NY,,
Corpus Christi, Texas,TX,87.4,57.7
Cudahy,,WI,,
Culver City,,CA,,
Dallas, Texas,TX,88.9,47.6
Darien,,WI,,
Daytona Beach, Florida,FL,82.9,59
Deerfield,,MO,,
Del City,,OK,,
Del Mar,,CA,,
Del Rio, Texas,TX,90.7,53.5
Delafield,,WI,,
Delavan,,WI,,
Des Moines, Iowa,IA,73.2,21
Detroit, Michigan,MI,73.1,24
Dickinson, North Dakota,ND,66.5,18
Dodge City, Kansas,KS,80.3,33.6
Douglaston,,NY,,
Dousman,,WI,,
Dubuque, Iowa,IA,68.3,15.6
Duluth, Minnesota,MN,66.1,7.8
E. Elmhurst,,NY,,
Eagle,,WI,,
Eagle,,ID,,
Eagle Rock,,CA,,
East Troy,,WI,,
Echo Park,,CA,,
Edgerton,,WI,,
Edmond,,OK,,
El Paso, Texas,TX,87.6,46.8
El Segundo,,CA,,
Elkhorn,,WI,,
Elkins, West Virginia,WV,71,28.7
Elko, Nevada,NV,71,29
Elmhurst,,NY,,
Elmont,,NY,,
Ely, Nevada,NV,68,28.5
Encino,,CA,,
Erie, Pennsylvania,PA,72,26.9
Escondido,,CA,,
Eugene, Oregon,OR,69.9,41.7
Eureka, California,CA,61.9,49.5
Evansville, Indiana,IN,76.6,33
Fairbanks, Alaska,AK,55.6,-6.7
Far Rockaway,,NY,,
Fargo, North Dakota,ND,66.5,6.5
Flagstaff, Arizona,AZ,67.3,30.8
Flatlands,,NY,,
Flint, Michigan,MI,70.3,20.8
Floral Park,,NY,,
Flushing,,NY,,
Fond Du Lac,,WI,,
Fontana,,WI,,
Forest Hills,,NY,,
Fort Atkinson,,WI,,
Fort Myers, Florida,FL,83.4,63.5
Fort Smith, Arkansas,AR,83,40
Fort Wayne, Indiana,IN,71.1,25.5
Fox Lake,,WI,,
Fox Point,,WI,,
Franklin,,WI,,
Franklin,,TN,,
Fresh Meadows,,NY,,
Fresno, California,CA,83.8,51.5
Garden City,,ID,,
Gardena,,CA,,
Genoa City,,WI,,
Germantown,,WI,,
Glasgow, Montana,MT,70.2,22.3
Glen Oaks,,NY,,
Glendale,,WI,,
Glendale,,CA,,
Glendale,,NY,,
Goodland, Kansas,KS,73.9,32.2
Goodlettsville,,TN,,
Grafton,,WI,,
Granada Hills,,CA,,
Grand Forks, North Dakota,ND,66.5,2.2
Grand Island, Nebraska,NE,72.6,27.1
Grand Junction, Colorado,CO,78.9,26.9
Grand Rapids, Michigan,MI,70.8,21.9
Great Falls, Montana,MT,66.8,29.8
Green Bay, Wisconsin,WI,67.9,16
Greenfield,,WI,,
Greensboro, North Carolina,NC,77.5,40.6
Greenville, South Carolina,SC,78.5,43.7
Gresham,,OR,,
Hales Corners,,WI,,
Happy Valley,,OR,,
Harbor City,,CA,,
